Min depth	Ave depth	Std dev	W/n 20% of ave depth	1x	25x	100x
13435	18132.5644891	2246.30537432	0.99162479062	1.0	1.0	1.0
0	0.198836081474	0.610479612456	0.0	0.09796314258	0.0	0.0
0	0.0402656117547	0.532833291798	0.0	0.028539135349	0.0	0.0
0	0.957776590059	2.77151120732	0.0	0.106894708712	0.0	0.0
0	91.4984188093	364.478265733	0.00742472157294	0.236491131583	0.117970576103	0.102708648426
0	0.264150943396	0.993392194799	0.0	0.0660377358491	0.0	0.0
5442	20268.0375059	4721.82922794	0.628223159869	1.0	1.0	1.0
6568	21132.9458864	4703.05278071	0.59818805093	1.0	1.0	1.0
7064	17824.7881579	4306.12400728	0.60701754386	1.0	1.0	1.0
0	0.832823649337	3.56769156707	0.0	0.0978593272171	0.0	0.0
9056	23802.4983379	4357.0603564	0.762163795709	1.0	1.0	1.0
0	1.005859375	3.68491233939	0.0	0.0810546875	0.0	0.0
4278	17085.9724613	4424.79360324	0.43760757315	1.0	1.0	1.0
11163	23916.6532942	4275.75604208	0.775929549902	1.0	1.0	1.0
5510	20227.2779974	5414.27764659	0.66534914361	1.0	1.0	1.0
2685	24085.248986	12454.2240664	0.559634288857	1.0	1.0	1.0
17908	22492.0994248	2890.4300853	0.953163516845	1.0	1.0	1.0
0	0.0593824228029	0.236339058695	0.0	0.0593824228029	0.0	0.0
14	5.61156412157	15.8281743807	0.0111193476649	0.255374351371	0.0845070422535	0.0
12088	17860.7180723	2104.39839022	0.90281124498	1.0	1.0	1.0
3945	16701.185654	4162.70535223	0.571729957806	1.0	1.0	1.0
0	1.07142857143	1.43747227125	0.0	0.357142857143	0.0	0.0
1690	35343.7920969	37698.6858715	0.299049979347	1.0	1.0	1.0
9019	16048.0690399	3011.09221846	0.700107874865	1.0	1.0	1.0
0	6826.18875502	7166.37760885	0.0622489959839	0.524096385542	0.524096385542	0.524096385542
0	3.82462356067	12.9950346675	0.0	0.0797165633304	0.0797165633304	0.0
7449	13968.2698413	3115.02129579	0.667857142857	1.0	1.0	1.0
0	1.17185309784	6.09760012104	0.0	0.0370058873003	0.0350434538828	0.0
9048	21812.8630673	3486.63128915	0.820552947314	1.0	1.0	1.0
2597	8859.52677298	2217.8939969	0.536885777259	1.0	1.0	1.0
6762	8049.18501119	2801.9664073	0.473378076063	0.98836689038	0.975838926174	0.975838926174
0	1.26029359112	3.16350964188	0.0	0.152524167562	0.0	0.0
0	2.3730017762	5.61340951816	0.0592066311427	0.258140911782	0.0	0.0
6599	14756.4163701	2441.52974285	0.77266066569	1.0	1.0	1.0
4811	14987.905839	3262.73960342	0.712782745923	1.0	1.0	1.0
0	0	0	0.0	0.0	0.0	0.0
3911	12738.6449115	2841.3123097	0.657817109145	1.0	1.0	1.0
3918	13259.7005457	2894.15230428	0.62653478854	1.0	1.0	1.0
2212	10402.2330638	2946.57121913	0.530955853109	1.0	1.0	1.0
1789	11626.046756	3505.48739102	0.418177042291	1.0	1.0	1.0
3840	11292.5691798	3026.66954181	0.536868268434	1.0	1.0	1.0
0	0	0	0.0	0.0	0.0	0.0
